src_ip,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
192.168.1.7,3796.6262,-13915.896,-5342.6396,23721.367,50026.96,11595.821,19582.623,-15269.366,30878.533,-6948.062,-11234.816,-4327.273,27281.688,8402.139,640.6955,1070.5138,11412.199,13485.953,-23621.605,10270.12,359.76077,10592.181,12789.8545,-32567.838,-3830.6235,-10122.8955,33616.91,-2143.319,5837.7324,22063.98,1527.3186,14917.216,-26406.41,12169.445,1051.0934,5648.0723,24297.012,-943.7523,-16470.69,1539.5045,-15697.31,-11422.631,477.61386,-16307.679,18976.207,-3472.99,-24936.477,6245.0815,-2856.9216,28532.225,19786.795,-6923.198,5511.919,-7473.449,-6342.4614,928.1763,6918.565,4337.4146,4464.51,15760.404,-28009.002,-9530.37,6850.4346,-4643.726,6951.5786,27912.893,208.97134,10647.511,-5605.133,3655.894,-12726.566,-6298.811,-18248.842,18083.99,5484.827,9820.633,15667.683,-13180.334,12980.348,57232.152,-13641.424,2047.9579,-17357.43,34340.22,8077.348,-12015.124,51505.89,30869.93,-16542.617,-24630.713,-26739.734,-5609.73,-3963.4897,-411.59372,13968.537,-3731.8467,23087.043,-11053.679,2240.628,5868.155,23303.852,21271.69,-20475.318,9272.894,1353.3341,-28112.83,8683.781,-5998.6333,7525.3394,-6047.2754,-15194.58,-16924.76,717.9968,-33946.38,11541.882,-16959.404,10149.827,16070.323,26192.002,5133.5254,2556.8281,-13077.944,-1416.0155,-1177.1995,37656.418,18350.24,1777.4778,-17641.172
192.168.1.10,-1146.9525,-6643.728,1730.1108,7741.9106,16791.783,6555.892,10177.045,-5348.705,12908.995,2226.2844,-1410.6041,-458.88876,11537.869,2347.7163,5284.4688,402.69315,5641.7505,10433.382,-7744.65,7550.9805,-594.7064,1304.3501,13044.73,-14789.42,-1471.7947,-4989.6963,16053.486,-833.381,3276.4854,9230.352,-1552.6005,4176.4893,-6937.9365,3052.178,-3519.1482,66.786385,6214.043,1505.1736,-14386.806,858.1358,-8056.3564,-4233.3613,365.79123,-11090.444,6257.791,-2904.3962,-9996.968,4549.3223,257.0187,14351.086,6049.764,1002.93884,3148.258,-799.63763,1831.9087,307.7721,-566.27264,-3494.5295,-2126.6233,10956.948,-17597.621,-6930.313,345.5964,4222.108,4582.619,11868.799,2226.544,5697.338,2474.3254,-1502.749,-3956.6309,-3587.204,-15637.023,9165.888,3794.3342,2118.0337,7427.054,-3291.142,3164.3455,28515.535,-5746.7812,534.89795,-6465.828,14401.486,1428.4279,-5636.929,18562.65,7481.5786,-4596.7905,-5647.653,-14184.001,-932.349,-2092.3384,-4866.1694,4180.6787,357.7993,12790.979,-6761.277,1726.5712,-1541.4121,6395.5894,7389.62,-5579.0674,1883.0148,-1716.2089,-11200.412,3480.4656,-6865.289,-449.72287,-2600.8918,-5677.088,-9112.931,40.19074,-17626.016,3345.6333,-6084.5938,-560.9965,1488.3785,9636.313,1416.0278,469.42902,-3641.924,4441.14,3939.2446,16186.595,8653.471,2165.6304,-12197.891
192.168.1.8,3556.0464,-16673.61,-4986.7397,27297.152,58241.445,14447.162,24357.963,-17939.54,36976.566,-6610.09,-12088.62,-4744.2456,32515.518,9092.385,2769.982,1243.4965,13603.536,17437.293,-26804.652,13168.186,-186.68143,11764.63,18139.441,-39140.4,-4723.373,-12449.1,41262.656,-2756.13,7311.692,26583.627,1150.5657,16446.355,-30429.775,13397.011,247.36903,6071.959,27756.115,-44.351967,-22123.482,1573.1562,-19125.902,-13740.002,444.95984,-20822.727,21960.156,-4677.3955,-29348.4,8206.926,-2442.745,34645.55,23049.375,-6900.847,7016.901,-8130.6104,-5982.1123,580.143,7254.066,3386.3315,3811.5042,20587.945,-35038.16,-12233.0,8039.0884,-3393.5889,8467.6875,33085.727,1089.8549,12975.613,-4848.2217,2963.575,-14780.262,-7496.581,-24552.432,22277.99,7613.752,10902.311,18498.082,-15006.078,14843.233,70221.64,-16122.042,1833.0806,-20420.568,41099.41,9028.532,-14840.063,60643.84,35341.113,-18661.055,-27397.227,-33001.54,-6013.033,-4593.0615,-2020.2576,16159.398,-3186.5332,28713.1,-14007.924,2911.684,5612.366,27045.068,24640.084,-23319.465,9931.497,1104.0739,-33870.965,10734.632,-8600.927,7341.688,-7476.6733,-18543.486,-21006.066,1109.304,-41385.25,13159.581,-20051.215,10804.148,17505.244,30639.504,5315.1934,2714.9124,-15297.792,753.9365,168.33823,44665.777,22101.838,2473.8489,-22914.455
192.168.1.6,2089.2773,-9687.2295,-2834.6187,14557.161,33006.29,8996.459,15297.937,-9608.353,22082.86,-2526.7468,-6273.455,-2053.7112,19372.525,4359.979,2407.203,389.9023,7778.751,11507.731,-16040.014,7328.313,-679.8653,5949.612,12025.119,-22807.22,-3251.1873,-6506.9414,25177.537,-2063.2603,3781.6436,15682.949,229.92839,10207.259,-17120.555,7165.964,-524.5742,3736.664,16183.569,421.8515,-15091.655,-207.8464,-10383.518,-8400.148,790.39026,-14921.748,13341.217,-3041.463,-18151.037,6486.2925,80.52001,20700.514,13156.148,-3372.464,4715.5195,-4457.147,-4084.0625,-277.9745,3575.857,43.718273,1402.633,13672.258,-21893.166,-7976.644,4861.9155,-1583.5872,4730.1714,17502.72,-482.06958,8785.271,-192.49203,247.39236,-8484.943,-5219.1074,-17105.203,13877.552,4774.635,6342.6436,9873.581,-7040.7466,8668.985,43446.19,-9990.73,161.6311,-11380.717,23445.232,5346.3184,-8936.759,36268.297,20821.75,-9813.532,-15260.583,-20539.422,-2376.0376,-2865.3347,-2146.201,9495.945,-915.5584,17992.676,-10988.068,2468.656,1980.6313,16009.544,13254.254,-14176.437,3895.8115,1063.5144,-19234.402,6060.7144,-7763.1904,3701.0217,-5465.9014,-11721.289,-12364.973,1565.2423,-25273.674,7313.239,-12679.095,5984.6265,8168.18,18581.17,2707.1108,241.53552,-8576.739,1600.0856,2704.6306,26491.318,13735.218,2623.5276,-15258.8
192.168.1.18,-3277.2566,-11324.596,5782.3857,11927.258,21718.418,13431.349,19719.104,-5870.1494,22978.596,5976.401,-17.53983,878.552,18790.94,4310.0586,13125.339,-1310.4803,10218.539,24335.104,-13541.178,11192.278,-2960.4287,-902.43427,30209.916,-29757.762,-1902.3489,-7642.529,29862.637,-884.8026,2871.334,13279.024,-5332.125,5615.1006,-6815.737,5943.4385,-10268.99,-1919.5867,7323.556,4792.562,-34472.395,1098.246,-12470.434,-4778.4316,6980.639,-27262.49,11213.217,-6438.431,-22623.295,12070.75,3397.144,27569.195,4931.9507,6955.105,4219.7407,-2095.7993,2559.2795,-326.49884,-5796.0874,-15338.204,-5970.7876,22277.188,-38913.785,-13430.4,594.6019,10492.501,10149.585,17185.65,2679.4282,11896.724,8856.431,-9352.319,-2051.474,-9476.932,-38389.85,16524.66,7872.5757,1850.5809,11851.4,-1971.0205,4154.1284,55226.152,-11152.156,1561.2993,-8912.26,24625.402,2944.0828,-11305.972,27419.791,10898.92,-3705.0679,-10645.614,-27892.47,2512.6511,-3517.5784,-15687.676,6753.6006,468.38174,24436.096,-16422.832,6104.7188,-7562.658,7237.4805,12485.848,-10222.271,-455.12128,-5650.4194,-16162.34,1637.3219,-23245.646,-3682.1516,-6758.7705,-10667.643,-15276.782,1651.6458,-36271.43,5071.7563,-8142.4023,-3503.937,-2571.6099,18673.738,3945.8933,-3863.7686,-5337.0103,10474.87,13756.255,27096.264,16190.99,8832.186,-29215.816
192.168.1.1,3250.1506,-13572.85,-5491.051,19181.803,46206.113,12497.661,22509.4,-12516.094,32021.3,-2250.7644,-8675.924,-1994.784,28287.633,4974.5244,3731.454,82.614914,10949.079,18114.303,-24371.252,8358.919,-1508.0204,7684.7456,17352.291,-31763.654,-4791.2266,-8532.691,36548.066,-4567.1187,4384.0635,22063.14,-166.38017,16343.926,-24127.764,10374.119,-946.9241,5589.981,23136.795,1179.4507,-23497.559,-1693.964,-13229.271,-13199.714,2208.301,-25072.37,20490.604,-4715.2783,-28266.816,11745.384,2080.084,29639.332,18313.95,-4156.725,7569.4033,-6023.1655,-7907.839,-362.25385,4848.999,-1972.5277,2084.1182,20599.637,-32549.287,-11794.776,7696.5063,-3377.0193,5666.733,22113.371,-3021.9182,13710.258,1913.655,-1408.7749,-12052.403,-8428.536,-26940.928,21091.51,6865.4746,10111.009,12002.593,-8161.848,13196.207,63994.25,-15387.077,-901.9832,-15782.141,32067.066,7923.781,-12950.925,52447.895,31172.482,-12583.831,-21979.031,-29955.607,-1927.6666,-4163.457,-3935.3474,14056.637,-881.9892,26859.87,-19504.143,4439.0967,1067.4581,23143.203,17565.37,-21662.73,2691.7239,2097.3076,-26032.94,7959.559,-14741.108,4854.468,-9091.441,-18226.744,-16798.438,3970.1482,-37283.082,9975.855,-19613.26,8910.403,9202.431,28287.812,4028.5103,-1900.1049,-11907.491,2667.8083,7300.69,38374.098,20384.004,5601.452,-23269.775
192.168.1.19,-1070.4282,-7960.2744,1344.2632,9178.117,20685.107,7665.2676,12401.646,-6322.4375,15829.467,2498.3074,-1905.5234,-455.01733,14313.035,2582.1624,5962.1313,369.44003,6517.9985,12497.954,-9894.681,8280.028,-832.1676,1737.2349,14858.188,-17650.455,-1927.7551,-5777.061,19713.26,-1374.9463,3603.7937,11089.402,-1676.9288,5759.4775,-8844.726,3930.8245,-3899.836,578.62683,8139.908,1858.6992,-17264.043,469.53433,-9268.941,-5569.325,678.6591,-13894.318,8222.796,-3431.5337,-12803.765,5969.5776,660.99585,17237.951,7685.228,868.0941,4003.1052,-1090.5491,1195.9803,206.03224,-269.873,-4022.6426,-1950.6473,13088.686,-20898.387,-8239.069,973.93134,4021.6912,4952.813,13589.258,1814.3893,7165.53,3063.4128,-1959.4574,-4975.374,-4387.6904,-18696.889,11494.504,4474.6787,3015.1892,8534.791,-3950.4194,4412.507,34566.773,-7207.8857,284.46832,-7995.5317,17350.645,1925.8663,-6789.374,23183.066,10327.706,-5622.8105,-7377.5186,-17054.469,-849.4485,-2531.5693,-5396.45,5533.909,468.6246,15572.668,-8935.841,2282.0688,-1862.7867,8454.399,8731.003,-7631.1553,1756.4459,-1525.5388,-13485.74,4153.6963,-8786.814,-313.5934,-3421.6519,-7609.1333,-10777.144,529.664,-21312.086,3987.018,-8010.9463,183.03839,1800.628,12237.211,1778.4312,47.90109,-4680.9453,4960.2446,5153.615,19683.51,10799.756,2977.718,-14776.493
192.168.1.17,-3439.6904,-15877.206,5080.771,16408.629,32892.91,17193.662,26965.264,-7368.031,31777.018,8171.3027,-859.8734,1370.2117,26915.492,4463.1084,16763.258,-1797.3137,12290.938,32472.33,-20811.605,13684.561,-3320.7559,-366.57254,37749.75,-39417.258,-2582.0676,-10528.043,41340.13,-2600.471,3305.82,18993.988,-6423.003,10001.583,-10304.192,9099.728,-11973.145,-647.6104,12515.633,6398.5654,-46172.38,829.98016,-15328.48,-8434.981,9303.64,-38639.895,17059.703,-8228.746,-32946.52,17404.893,5138.6094,37555.12,9009.203,7694.605,5939.5176,-2827.138,226.88054,-215.9186,-5875.5537,-19341.08,-6452.1274,30044.947,-50811.383,-18354.52,2090.4058,11301.938,11625.247,21159.348,856.66174,17735.398,12788.424,-12281.938,-4698.772,-13456.423,-50893.25,24250.842,10665.729,5470.1987,14829.179,-2777.5144,8021.6943,75149.83,-16014.389,733.45667,-12345.941,32438.418,4859.0103,-14732.405,40402.027,19061.645,-5707.0986,-15414.741,-37416.254,3538.691,-3941.0103,-19890.705,10825.814,809.58246,33457.613,-24162.35,7529.4204,-9935.936,12600.634,16513.686,-16229.954,-2059.229,-6145.8125,-23227.926,2979.2239,-32417.254,-3054.9763,-9626.512,-16127.666,-20825.113,2938.2358,-49516.098,7349.57,-14040.234,-3326.9265,-2674.67,25999.81,4735.6963,-6044.2954,-8439.937,13196.835,19659.5,38483.133,22661.822,12289.49,-39374.164
192.168.1.13,-1708.3492,-7602.4185,2714.4392,7707.059,15262.976,8664.946,13378.862,-3019.9287,15417.549,3883.455,-555.05225,582.9819,12992.176,2218.205,8265.383,-1229.1761,5885.1045,16439.693,-10250.8955,6279.0205,-1987.4049,-493.5353,19217.479,-19945.56,-1119.4893,-5250.697,20525.48,-1257.0142,1036.6198,8792.554,-3365.9868,4516.2446,-4438.495,4928.7905,-6192.7847,-801.52356,5752.4497,3411.0435,-23770.338,184.14671,-7141.857,-3704.962,5261.3877,-19986.344,8337.634,-3742.5046,-17023.174,9256.317,2915.8157,18848.531,3730.2527,4114.5654,3043.5715,-1412.9894,-104.09038,-252.74313,-3496.0898,-10986.508,-3224.035,15061.206,-25507.35,-9010.593,1436.1671,5812.907,5982.4204,9526.239,-96.84548,8769.915,6574.2437,-6739.6113,-1572.653,-6811.418,-26246.479,11909.069,4952.6187,2247.3394,6928.879,-1370.7961,3653.36,37468.37,-8250.792,571.45624,-5721.671,15918.008,2790.8726,-7327.747,19021.436,9330.018,-2389.6907,-7761.6763,-18916.076,2344.135,-1994.8252,-10542.292,5134.925,146.9048,16623.812,-12126.657,3958.2886,-5403.6235,5617.683,8029.4995,-7904.9434,-1766.8802,-3256.5112,-11111.107,710.5838,-17540.27,-2029.7035,-5013.986,-8034.175,-9648.482,1896.7332,-25112.373,3471.649,-6399.3,-1741.7994,-1619.901,12715.503,2192.5264,-3729.0657,-3865.3496,6988.3335,10558.156,18542.5,10983.588,6638.5503,-20233.762
192.168.1.16,3588.0994,-19009.916,-5214.142,31180.857,65792.68,16164.223,27335.482,-20497.11,41483.81,-7412.3706,-13554.484,-5548.378,36596.19,10575.605,3395.7856,1495.1268,15537.938,19573.783,-29732.146,15510.157,-54.716125,13309.518,20667.967,-44275.223,-5251.297,-14369.05,46297.832,-2914.4395,8732.688,29947.475,1328.6821,18078.424,-34238.098,15245.213,239.76695,6640.783,30913.613,-4.904969,-24826.574,2233.7107,-22296.922,-15353.921,236.8576,-22768.955,24262.393,-5495.2314,-32490.986,8699.8545,-3235.0679,39046.195,26079.578,-7943.973,7734.9097,-9145.204,-5776.499,727.3497,8220.871,4145.452,4201.377,23143.287,-39428.836,-13929.711,8805.37,-3149.1494,9712.293,38063.984,2033.4487,14330.427,-5902.814,3736.1816,-16666.365,-8163.035,-27381.08,24833.7,8492.026,12091.73,21372.209,-17401.908,16279.187,78568.43,-17841.602,2431.8691,-23114.52,46608.64,9836.926,-16685.07,67724.445,39117.168,-21296.31,-30655.662,-37078.24,-7213.729,-5140.9834,-2357.15,18120.1,-3660.699,32068.777,-14875.854,3037.4082,6500.3477,30043.305,28157.076,-25605.385,11755.8955,895.24005,-38578.81,12389.803,-8826.092,8152.3506,-8139.402,-20465.48,-23930.66,774.09015,-46520.938,14981.822,-22135.475,11862.478,20106.596,34090.207,5996.3525,3657.7437,-17215.348,1085.4552,-621.9669,50219.38,24682.668,2243.6133,-25477.246
